,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,t_gen,t_ny_covid,nyt_gen,nyt_covid,x_factor
2020-02-29 00:00:00+00:00,1,14,0,0.29032258064516137,0.5353637050088095,0.0,,0.0
2020-03-01 00:00:00+00:00,1,4,0,0.4086021505376344,0.39728884254431707,0.0,,0.0
2020-03-02 00:00:00+00:00,0,22,0,0.5161290322580645,0.181154611811546,0.6666666666666666,,0.3440860215053763
2020-03-03 00:00:00+00:00,2,20,0,0.3333333333333333,0.6739659367396593,0.75,,0.25
2020-03-04 00:00:00+00:00,5,22,0,0.4408602150537635,0.34306569343065696,,,
2020-03-05 00:00:00+00:00,3,22,0,0.5591397849462365,0.13138686131386856,0.5,,0.27956989247311825
2020-03-06 00:00:00+00:00,7,22,0,0.4838709677419355,0.3924761370016845,0.6666666666666666,,0.3225806451612903
2020-03-07 00:00:00+00:00,7,15,0,0.5913978494623657,0.7454776261504285,,,
2020-03-08 00:00:00+00:00,21,18,0,0.8279569892473119,0.22485312444365316,,,
2020-03-09 00:00:00+00:00,57,51,0,0.5161290322580645,0.4742132344142635,1.0,,0.5161290322580645
2020-03-10 00:00:00+00:00,70,63,0,0.3978494623655915,0.5537017726798749,0.0,,0.0
2020-03-11 00:00:00+00:00,154,86,1,0.2795698924731184,0.5988877302745916,1.0,0.25,0.2795698924731184
2020-03-12 00:00:00+00:00,356,92,1,0.5698924731182796,0.4311355749670934,1.0,0.6666666666666666,0.5698924731182796
2020-03-13 00:00:00+00:00,621,148,0,0.5698924731182796,0.4301620685389088,0.0,0.5,0.0
2020-03-14 00:00:00+00:00,643,160,2,0.7526881720430108,0.28754337680986,0.0,0.0,0.0
2020-03-15 00:00:00+00:00,1032,192,6,0.5483870967741935,0.3868613138686131,,0.0,
2020-03-16 00:00:00+00:00,2122,307,9,0.5806451612903226,0.5603685533086036,0.5,0.5,0.2903225806451613
2020-03-17 00:00:00+00:00,2453,355,8,0.8387096774193549,0.8102189781021898,1.0,0.2,0.8387096774193549
2020-03-18 00:00:00+00:00,2976,468,20,0.4623655913978495,0.5446197315752296,0.5,0.6666666666666666,0.23118279569892475
2020-03-19 00:00:00+00:00,3706,552,24,0.8387096774193549,0.1777805270320425,0.0,0.625,0.0
2020-03-20 00:00:00+00:00,4010,666,46,0.956989247311828,0.4598540145985402,0.0,0.0,0.0
2020-03-21 00:00:00+00:00,2634,693,44,0.6344086021505377,0.4598540145985402,1.0,,0.6344086021505377
2020-03-22 00:00:00+00:00,2575,727,49,0.5591397849462365,0.35036496350364965,0.0,,0.0
2020-03-23 00:00:00+00:00,3555,1045,82,0.41935483870967744,0.4301620685389088,0.0,,0.0
2020-03-24 00:00:00+00:00,4488,1160,95,0.6236559139784947,0.4820290122886446,0.3333333333333333,,0.20788530465949823
2020-03-25 00:00:00+00:00,4830,1293,121,0.7096774193548387,0.42003981420039815,,,
2020-03-26 00:00:00+00:00,5020,1429,189,0.8064516129032259,0.4337073755311036,0.5,,0.40322580645161293
2020-03-27 00:00:00+00:00,5088,1389,214,0.6451612903225807,0.44448713023434494,,,
2020-03-28 00:00:00+00:00,3452,1340,262,0.6774193548387097,0.20138805791551995,,,
2020-03-29 00:00:00+00:00,3521,1391,289,0.6774193548387097,0.5036496350364963,,,
2020-03-30 00:00:00+00:00,6098,1689,321,0.8494623655913979,0.4160583941605839,1.0,,0.8494623655913979
2020-03-31 00:00:00+00:00,5257,1534,372,0.5806451612903226,0.24087591240875905,1.0,,0.5806451612903226
2020-04-01 00:00:00+00:00,5149,1458,421,0.5053763440860215,0.4942035208243882,0.3333333333333333,,0.16845878136200715
2020-04-02 00:00:00+00:00,5751,1607,471,0.6774193548387097,0.9603753910323254,0.5,,0.33870967741935487
2020-04-03 00:00:00+00:00,5642,1600,468,0.3548387096774194,0.6204379562043796,1.0,,0.3548387096774194
2020-04-04 00:00:00+00:00,3847,1337,482,0.6774193548387097,0.8978102189781022,,,
2020-04-05 00:00:00+00:00,3765,1331,551,0.5698924731182796,1.0,,,
2020-04-06 00:00:00+00:00,6348,1685,546,0.6666666666666667,0.5015641293013555,,,
2020-04-07 00:00:00+00:00,6044,1559,577,0.5268817204301075,0.635036496350365,0.6,,0.3161290322580645
2020-04-08 00:00:00+00:00,5552,1520,532,0.9247311827956991,0.5182481751824817,1.0,0.0,0.9247311827956991
2020-04-09 00:00:00+00:00,5029,1391,523,0.6666666666666667,0.5992037159920371,1.0,0.5,0.6666666666666667
2020-04-10 00:00:00+00:00,4412,1304,504,0.9032258064516129,0.6058394160583942,0.75,0.0,0.6774193548387096
2020-04-11 00:00:00+00:00,3704,1067,516,0.7311827956989247,0.2814274128142741,,1.0,
2020-04-12 00:00:00+00:00,2867,962,541,0.7419354838709677,0.437956204379562,,,
2020-04-13 00:00:00+00:00,3286,1202,538,0.7634408602150539,0.4777297780426039,1.0,0.3333333333333333,0.7634408602150539
2020-04-14 00:00:00+00:00,4120,1059,490,0.6774193548387097,0.5766423357664234,1.0,0.3333333333333333,0.6774193548387097
2020-04-15 00:00:00+00:00,3867,987,431,0.5053763440860215,0.4452554744525547,1.0,0.0,0.5053763440860215
2020-04-16 00:00:00+00:00,3526,863,388,0.7741935483870969,0.5172908938614336,1.0,0.3333333333333333,0.7741935483870969
2020-04-17 00:00:00+00:00,3555,895,355,0.24731182795698925,0.4823133071308254,0.0,1.0,0.0
2020-04-18 00:00:00+00:00,2117,644,356,0.5591397849462365,0.7712895377128954,1.0,0.25,0.5591397849462365
2020-04-19 00:00:00+00:00,2351,596,361,0.6881720430107527,0.4191139025632321,0.0,0.5,0.0
2020-04-20 00:00:00+00:00,3768,721,333,0.6559139784946237,0.3005972130059722,0.8,0.375,0.524731182795699
2020-04-21 00:00:00+00:00,3058,669,294,0.7849462365591399,0.6788321167883211,0.8333333333333334,0.25,0.6541218637992833
2020-04-22 00:00:00+00:00,3457,605,291,0.7419354838709677,0.5440763615946098,0.75,0.2,0.5564516129032258
2020-04-23 00:00:00+00:00,2832,526,300,0.4731182795698925,0.4598540145985402,1.0,0.0,0.4731182795698925
2020-04-24 00:00:00+00:00,2464,573,291,1.0,0.7186463171864632,1.0,1.0,1.0
2020-04-25 00:00:00+00:00,1589,408,230,0.7311827956989247,0.7864654212544847,0.0,0.6666666666666666,0.0
2020-04-26 00:00:00+00:00,1010,374,223,0.4731182795698925,0.7518248175182483,,0.5,
2020-04-27 00:00:00+00:00,2304,459,237,0.5376344086021505,0.8102189781021898,0.0,0.6,0.0
2020-04-28 00:00:00+00:00,2712,452,202,0.7204301075268817,0.635036496350365,0.0,0.25,0.0
2020-04-29 00:00:00+00:00,2334,419,200,0.6881720430107527,0.564963503649635,0.3333333333333333,0.5,0.22939068100358423
2020-04-30 00:00:00+00:00,2003,329,184,0.9247311827956991,0.3897810218978103,0.6666666666666666,0.3333333333333333,0.6164874551971327
2020-05-01 00:00:00+00:00,1863,365,171,0.7741935483870969,0.5036496350364963,1.0,0.5,0.7741935483870969
2020-05-02 00:00:00+00:00,1047,267,160,0.5913978494623657,0.635036496350365,,,
2020-05-03 00:00:00+00:00,776,238,146,0.6021505376344086,0.7138686131386861,,,
